day,time,artist,album,type,title,spotify,apple,year,month
5,18:00,Jung Key,RETRO,full-length album,Honest (feat. Minseo) / Stay With Me (feat. BTOB's Yook Sungjae),https://open.spotify.com/album/4SeP6ESUtWAfAXNKJPqt8N,https://itunes.apple.com/gb/album/retro/1445674535,2018,12
5,18:00,LABOUM,I'M YOURS,single album,Turn It On,https://open.spotify.com/album/6RDSEmje5HGG04hEStKwa8,https://itunes.apple.com/gb/album/im-yours-single/1445648650,2018,12
5,18:00,ONEW (SHINee),VOICE,debut mini album,Blue,https://open.spotify.com/album/34QsNcb8lm3qDsQtlt26cD,https://itunes.apple.com/gb/album/voice-the-1st-mini-album/1445130065,2018,12
5,18:00,Starship Entertainment Artists,Starship Planet 2018,winter special single,Christmas Time,https://open.spotify.com/album/6UPvFQ3Lhi5x6W7vCq0Zaq,None,2018,12
6,18:00,UP10TION,Laberinto,mini album,Blue Rose,https://open.spotify.com/album/1TgmDrOxQWEWqdcTiuVyyd,https://itunes.apple.com/gb/album/laberinto/1445840420,2018,12
7,12:00,VAV,So In Love,winter special single,So In Love,https://open.spotify.com/album/4bnVXZS1DfrXvPtjvNKt1t,https://itunes.apple.com/gb/album/so-in-love-single/1447353733,2018,12
7,12:00,WELL,WELL,debut digital single,6 O'clock (feat. Simon Dominic),https://open.spotify.com/album/33OEe9iGGfiKS6vN35teZM,https://itunes.apple.com/gb/album/well-single/1445842501,2018,12
7,18:00,Ben,180˚,mini album,180˚,https://open.spotify.com/album/0oBH83eLqK72jLRzrbPBH6,https://itunes.apple.com/gb/album/180-ep/1445982665,2018,12
7,18:00,Coogie,EMO #1,mini album,Justin Bieber (feat. Jay Park),https://open.spotify.com/album/1wwdj2dlirH6UPsQomN4zh,https://itunes.apple.com/gb/album/emo-1/1445810417,2018,12
7,18:00,Kim Dong Ryul,동화,digital single,Fairy Tale (feat. IU),https://open.spotify.com/album/6myaPgu44zfdxzine6NtLZ,https://itunes.apple.com/gb/album/fairy-tale-feat-iu-single/1445990936,2018,12
8,01:00,Wang Fei Fei (miss A),Hello,Chinese digital single,Hello (feat. GOT7's Jackson),https://open.spotify.com/album/1viFjuwkYDGHOY4JwNVhmN,None,2018,12
9,18:00,Hyungdon & Daejune,Secre Love Song,digital single,Secret Love Song,https://open.spotify.com/album/5iyMbMIV9Z2yfeVUNGmqmH,None,2018,12
9,18:00,KYT (Koyote),Re-born Part.1 애원,20th anniversary single,Eternity,https://open.spotify.com/album/65sYYiKRoYsFusn6SSKujV?si=I_k55zkERRGOoTMsbB7rFA,https://itunes.apple.com/gb/album/20th-anniversary-reborn/1451937581,2018,12
10,18:00,B1A4 X ONF X Oh My Girl,Timing,winter special single,Timing,https://open.spotify.com/album/4X6vEERnY6zPHvDbvOa6Xy,None,2018,12
10,18:00,DAY6,Remember Us : Youth Part 2,mini album,days gone by,https://open.spotify.com/album/53xLSzUboaZzlrBJ5fAwJo,https://itunes.apple.com/gb/album/remember-us-youth-part-2/1445978481,2018,12
11,18:00,Gaho (PLT),Preparation For A Journey,mini album,Preparation For A Journey,https://open.spotify.com/album/0SL4Kht0oTeDTKjpkECG8H,None,2018,12
11,18:00,Lee Changsub (BTOB),Mark,debut mini album,Gone,https://open.spotify.com/album/6SnE3E2SdOIv5QlNwKMf35,None,2018,12
12,00:00,100%,28℃,Japanese single album,28℃,https://open.spotify.com/album/6glPRihAaPsE1wAUqUvPko,None,2018,12
12,12:00,Ladies' Code,The Last Holiday,winter special single,The Last Holiday,https://open.spotify.com/album/776AT3TQwGi8tifIw4hMWG,None,2018,12
12,18:00,TraxX,ESCAPE,digital single,ESCAPE,https://open.spotify.com/album/6Lou4lZ4Dh4YJOYsFKMtcB,None,2018,12
12,18:00,TWICE,The Year of 'Yes',special album,The Best Thing I Ever Did,https://open.spotify.com/album/7fk1Ss3LO6U2LYHb82z9zf,None,2018,12
13,18:00,EXO,Love Shot,repackage full-length album,Love Shot,https://open.spotify.com/album/3r5m8utqRZYJnpep7xxVyq,None,2018,12
13,18:00,Hello Venus X ASTRO X Weki Meki,FM201.8,Fantagio FM201.8 Hz special album,All I Want,https://open.spotify.com/album/413f5NET6AFfWqzB5cMgCm,None,2018,12
13,18:00,Nam Woohyun (INFINITE),지금 이 노래,digital single,지금 이 노래,https://open.spotify.com/album/6PDo6LzuVaGYWWuKnuiz1Y,None,2018,12
13,19:00,"Red Velvet's Yeri X NCT's Renjun, Jeno, Jaemin",Hair in the Air,SM STATION 3 project single,Hair in the Air,https://open.spotify.com/album/0mcFxigjAiix4cDGVgr1wF,None,2018,12
