artist,album,image_url
Daesung (Big Bang),D-LITE 2,https://i.scdn.co/image/ab67616d0000b273f513108abf7902f2faa12c3c
Kris Wu,Deserve,https://i.scdn.co/image/ab67616d0000b273f8a4ed0b627fbfe83219cc22
DIA,Present,https://i.scdn.co/image/ab67616d0000b273f7c994dc34758849d3449f66
Hi Cutie,Play U,https://i.scdn.co/image/ab67616d0000b273fa07eb5e5321f41e7be96eb1
MASC,Do it,https://i.scdn.co/image/ab67616d0000b273f6ff49e5394620c6a63ff5b1
Varsity,"U & I, Date",https://i.scdn.co/image/ab67616d0000b27305abd4e6d8fe04ea46928ee9
HA:TFELT,MEiNE,https://i.scdn.co/image/ab67616d0000b2738bce9d78bda8389773201416
RAINZ,Sunshine,https://i.scdn.co/image/ab67616d0000b273e8cd893bf2b4d4a00b374279
SF9,Knights of the Sun,https://i.scdn.co/image/ab67616d0000b273c8bd7a16603afa3cb7db1aa8
UP10TION,2017 Special Photo Edition,https://i.scdn.co/image/ab67616d0000b273830a9529f455f609eb3606e3
Phe Reds (AOMG),SMILE,https://i.scdn.co/image/ab67616d0000b273e0cbc913aa49ebd9e8a0e21d
Doyoung (NCT) X Sejeong (gugudan),Star Blossom,https://i.scdn.co/image/ab67616d0000b273bc369b94c5fa768d19f065be
Parc Jae Jung,The Villain,https://i.scdn.co/image/ab67616d0000b2736c3c0ed7396515939c91648d
THE UNI+,My Turn,https://i.scdn.co/image/ab67616d0000b273fc2981251f061282206c4983
Yu Seung Woo,Tonight,https://i.scdn.co/image/ab67616d0000b273c1a2e2054f933e38917bc026
Lee Jin Sung (Monday Kiz),When Autumn Comes,https://i.scdn.co/image/ab67616d0000b2735c2fb4f67edfcf4cf539e70b
G2 X Paloalto X Huckleberry P,Rapflicks,https://i.scdn.co/image/ab67616d0000b27367107a9897c7e08c437b4add
Jang Jane,Velvet,https://i.scdn.co/image/ab67616d0000b273b8fa2a4d0c61d1b5a1b10d96
Jung Jinhyeong,Tru,https://i.scdn.co/image/ab67616d0000b273c7b8eb4a9a9ccb15ae038352
Young Cream,BANANA,https://i.scdn.co/image/ab67616d0000b2730abc2f80b6f7dfd5161e99e2
Jung Dong Ha,LIFE,https://i.scdn.co/image/ab67616d0000b273052d36194be16ddb7149db18
BTOB,Brother Act.,https://i.scdn.co/image/ab67616d0000b27317477a7434c66ac5548b6ab7
Highlight,Celebrate,https://i.scdn.co/image/ab67616d0000b273532dbe7ac4313ee67ca286f3
Taemin,MOVE,https://i.scdn.co/image/ab67616d0000b27362fad74218294c98e510c1c8
Haea (LipBubble),Paris Party,https://i.scdn.co/image/ab67616d0000b2737263fc11c456cdf4692ccdbb
Solar (Mamamoo),Solar's Emotion Part.5,https://i.scdn.co/image/ab67616d0000b273d9bef8d7a5afd4c826742fce
The One,One Mind,https://i.scdn.co/image/ab67616d0000b273a416fcd88c30b1169ac50bd1
CNBLUE,STAY GOLD,https://i.scdn.co/image/ab67616d0000b273d5d4caa473d0369a043c3713
TWICE,One More Time,https://i.scdn.co/image/ab67616d0000b2736734e7730498eb0d63df66f5
A.C.E,Callin',https://i.scdn.co/image/ab67616d0000b273ef2315f667710ed33a0bd25f
JBJ,Fantasy,https://i.scdn.co/image/ab67616d0000b27330f121ed29795d70ab282d70
Lee Joon,What I Want to Give,https://i.scdn.co/image/ab67616d0000b27334fc2a198aeba5c0c7e15a83
pH-1,The Island Kid,https://i.scdn.co/image/ab67616d0000b273f0733270a58882e30b73a583
IL,Be Alone,https://i.scdn.co/image/ab67616d0000b273b3b81516bafa7c48247bcb43
Navi,Don't Leave Me,https://i.scdn.co/image/ab67616d0000b273666e2a6102f9fc80a3a2323b
The Barberettes,Autumn,https://i.scdn.co/image/ab67616d0000b273b4a2e86bbd0ce41880880934
Xion,Lookin',https://i.scdn.co/image/ab67616d0000b273099ce50fa211526784427d16
Black Nine,Mirror,https://i.scdn.co/image/ab67616d0000b273df3a53a415ebfe117a8676b4
Double K,Cypher (Multiplayer),https://i.scdn.co/image/ab67616d0000b27319f284f4796df008109f24b3
BIGONE,W I N D M I L L,https://i.scdn.co/image/ab67616d0000b2730837a896b7bc54a229e32552
Playback,Untold Story,https://i.scdn.co/image/ab67616d0000b27377935e5f5ed01654c297abe0
SBGB,Something Happens in This Afternoon,https://i.scdn.co/image/ab67616d0000b2735e0dd298ce5752656f15a4b1
R3HAB / Dash Berlin / IMLAY / SHAUN,Power (Remix Ver.),https://i.scdn.co/image/ab67616d0000b2733200224af8fde15ffc9ccb10
THE UNI+,Last One,https://i.scdn.co/image/ab67616d0000b273ec87773c383a52d4a23ee3fb
JeA,Only without me,https://i.scdn.co/image/ab67616d0000b2739e37ec3ffa52aba831202127
Marmello,Can't Stop,https://i.scdn.co/image/ab67616d0000b273b1739eb936a9ae9cecb50c0e
nafla,Angles,https://i.scdn.co/image/ab67616d0000b273041e35f3a7dbd9a8dc163de1
Realslow (Wheesung),Realslow,https://i.scdn.co/image/ab67616d0000b273688fd536e9c6c3bf406040cd
Epik High,We've Done Something Wonderful,https://i.scdn.co/image/ab67616d0000b2737459f946f765d2f53cba0a94
